Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
4426326.0,Kayvon Thibodeaux,22,NYG,ROLB,14,14,0,0,0,0,5,2,0,2,1,1,4.0,49,33,16,6,13,0
3138677.0,Leighton Vander Esch,25,DAL,MLB,14,14,0,0,0,0,1,1,0,0,0,0,1.0,90,54,36,4,1,0
3134362.0,Vita Vea,27,TAM,NT,14,14,0,0,0,0,0,1,0,1,0,0,6.5,31,15,16,7,13,0
3915535.0,Denzel Ward,25,CLE,LCB,14,14,3,0,0,0,15,0,0,2,4,2,0.0,53,42,11,1,1,0
,Al Woods,35,SEA,NT,14,14,0,0,0,0,1,0,0,0,0,0,2.0,39,27,12,5,3,0
4039050.0,Devin Duvernay,25,BAL,WR,14,13,0,0,0,0,0,0,1,3,0,0,0.0,0,0,0,0,0,0
3929846.0,DeShon Elliott,25,DET,FS,14,13,1,0,0,0,3,1,0,1,0,0,0.0,96,73,23,5,3,0
546678.0,Folorunso Fatukasi,27,JAX,RDE,14,13,0,0,0,0,3,0,0,0,0,0,1.5,24,13,11,2,3,0
3916433.0,Jakobi Meyers,26,NWE,WR,14,13,0,0,0,0,0,0,2,0,0,0,0.0,1,1,0,0,0,0
482895.0,Jason Pierre-Paul,33,BAL,LOLB,14,13,1,3,0,3,5,0,0,0,0,0,3.0,26,17,9,5,3,0
480239.0,Logan Thomas,31,WAS,TE,14,13,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
4240595.0,Marco Wilson,23,ARI,RCB,14,13,3,77,1,39,10,1,0,0,0,0,0.0,58,44,14,2,1,0
4035661.0,Julian Blackmon,24,IND,FS,14,11,1,17,1,17,2,0,0,1,34,0,1.0,50,36,14,2,1,0
4036348.0,Michael Gallup,26,DAL,WR,14,11,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
530979.0,Fabian Moreau,28,NYG,RCB,14,11,0,0,0,0,10,0,0,0,0,0,0.0,66,50,16,0,0,0
559694.0,Josh Reynolds,27,DET,WR,14,11,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
4035656.0,Ben Skowronek,25,LAR,WR,14,11,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
500338.0,Anthony Barr,30,DAL,RLB,14,10,0,0,0,0,1,0,0,2,0,0,1.0,58,35,23,2,4,0
3121344.0,Ryan Neal,27,SEA,SS,14,10,1,13,0,13,8,1,0,0,0,0,1.0,66,45,21,4,1,0
4040608.0,Jonathon Cooper,24,DEN,LOLB,14,9,0,0,0,0,0,0,0,0,0,0,2.0,48,23,25,2,7,0
4362630.0,Terrace Marshall Jr.,22,CAR,WR,14,9,0,0,0,0,0,0,2,1,-1,0,0.0,1,1,0,0,0,0
4241987.0,Baron Browning,23,DEN,ROLB,14,8,1,-6,0,-6,2,0,1,1,0,0,5.0,24,14,10,8,12,0
,John Cominsky,27,DET,RDE,14,8,0,0,0,0,3,1,0,0,0,0,4.0,30,18,12,5,12,0
4036169.0,Nick McCloud,24,NYG,LCB,14,8,0,0,0,0,7,0,0,0,0,0,1.5,43,35,8,2,2,0
551279.0,Jonnu Smith,27,NWE,TE,14,8,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0
4259545.0,D'Andre Swift,23,DET,RB,14,8,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0
502416.0,K'Waun Williams,31,DEN,DB,14,8,1,0,0,0,7,0,0,0,0,0,1.0,44,30,14,2,2,0
3123867.0,Calvin Anderson,26,DEN,RT,14,7,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
541150.0,Marcus Johnson,28,NYG,WR,14,7,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0
516284.0,Eric Rowe,30,MIA,SS,14,6,0,0,0,0,2,2,0,0,0,0,2.0,56,42,14,4,2,0
4372576.0,Jack Sanborn,22,CHI,MLB,14,6,0,0,0,0,0,0,0,1,0,0,2.0,64,50,14,5,3,0
3915147.0,Calvin Throckmorton,26,NOR,G,14,6,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
3116175.0,Amani Oruwariye,26,DET,LCB,14,5,0,0,0,0,3,0,0,1,0,0,0.0,44,36,8,1,0,0
4240706.0,Jason Pinnock,23,NYG,FS,14,5,0,0,0,0,3,1,1,1,0,0,1.5,41,34,7,2,4,0
