Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty
,Kareem McKenzie,25,NYJ,RT,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Seth McKinney,25,MIA,C,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Steve McKinney,29,HOU,C,16,16,0,0,0,0,0.0,0,1,0,-7,0,0.0,0.0,0.0,0.0,0.0,0
,Bryant McKinnie,25,MIN,LT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Randy McMichael,25,MIA,TE,16,16,0,0,0,0,0.0,0,2,2,0,0,0.0,2.0,1.0,1.0,0.0,0
,Brad Meester,27,JAX,C,16,16,0,0,0,0,0.0,0,1,1,-14,0,0.0,0.0,0.0,0.0,0.0,0
,Fred Miller,31,TEN,RT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Mike Minter,30,CAR,SS,16,16,0,0,0,0,10.0,3,0,2,0,0,2.0,83.0,63.0,20.0,2.0,0
,Eric Moulds,31,BUF,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Muhsin Muhammad,31,CAR,WR,16,16,0,0,0,0,0.0,0,3,1,0,0,0.0,,,,,0
,Chris Naeole,30,JAX,RG,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Tom Nalen,33,DEN,C,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Terence Newman,26,DAL,LCB,16,16,4,31,0,21,15.0,2,0,0,0,0,0.0,70.0,66.0,4.0,2.0,0
,Dat Nguyen,29,DAL,MLB,16,16,3,19,0,19,5.0,1,0,1,9,0,1.0,107.0,75.0,32.0,2.0,0
,Chike Okeafor,28,SEA,LDE,16,16,0,0,0,0,0.0,3,0,0,0,0,8.5,54.0,41.0,13.0,10.0,0
,Shane Olivea,23,SDG,RT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Igor Olshansky,22,SDG,RDE,16,16,0,0,0,0,2.0,0,0,0,0,0,1.0,39.0,24.0,15.0,4.0,0
,Tony Parrish,29,SFO,SS,16,16,4,64,0,26,8.0,1,0,1,8,0,0.5,88.0,60.0,28.0,2.0,0
,Julius Peppers,24,CAR,LDE,16,16,2,143,1,97,9.0,4,0,1,60,1,11.0,65.0,53.0,12.0,9.0,0
,Mike Peterson,28,JAX,MLB,16,16,0,0,0,0,1.0,1,0,1,0,0,5.0,126.0,93.0,33.0,9.0,0
,Luke Petitgout,28,NYG,LT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Ryan Pickett,25,STL,LDT,16,16,0,0,0,0,2.0,1,0,0,0,0,2.0,46.0,42.0,4.0,5.0,0
,Antonio Pierce,26,WAS,MLB,16,16,2,94,1,78,5.0,1,0,2,2,0,1.0,114.0,87.0,27.0,3.0,0
,Chester Pitts,25,HOU,LG,16,16,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0
