Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Unnamed: 17_level_0,Unnamed: 18_level_0
Rk,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
83.0,Drayton Florence,30.0,BUF,RCB,16.0,16.0,1.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,75.0,
84.0,Jesse Holley,26.0,DAL,WR,12.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,2.0,
85.0,Elbert Mack,24.0,TAM,WR,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
86.0,Antwaun Molden,25.0,HOU,DB,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
87.0,Brandon Myers,25.0,OAK,TE,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,
88.0,Kassim Osgood,30.0,JAX,WR,16.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,59.0,
89.0,Dominique Rodgers-Cromartie,24.0,ARI,LCB,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86.0,
90.0,Bryan Scott,29.0,BUF,DB,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,
91.0,Sammie Stroughter,24.0,TAM,WR,12.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,79.0,0.0,30.0,26.3,320.0,
92.0,Brandon Tate,23.0,NWE,WR,16.0,10.0,1.0,4.0,0.0,4.0,4.0,41.0,1057.0,2.0,103.0,25.8,1555.0,
93.0,Walter Thurmond,23.0,SEA,DB,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
94.0,Matt Ware,28.0,ARI,DB,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
95.0,Jamar Williams,26.0,CAR,LB,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
96.0,C.J. Ah You,28.0,STL,DE,16.0,0.0,0.0,0.0,0.0,0.0,,1.0,16.0,0.0,16.0,16.0,16.0,
97.0,Terrence Austin,22.0,WAS,WR,5.0,0.0,0.0,0.0,0.0,0.0,,1.0,15.0,0.0,15.0,15.0,62.0,
